,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
377,378,[Octen-Embedding-4B](https://huggingface.co/Octen/Octen-Embedding-4B),99%,3.634,4.022,2560.0,32768.0,,,,,,,,,,,
378,379,[gemini-embedding-2-preview](https://ai.google.dev/gemini-api/docs/embeddings),99%,,,3072.0,2048.0,,,,,,,,,,,
379,380,[Octen-Embedding-8B-INT8](https://huggingface.co/Octen/Octen-Embedding-8B-INT8),99%,6.946,7.567,1024.0,32768.0,,,,,,,,,,,
380,381,[Octen-Embedding-4B-INT8](https://huggingface.co/Octen/Octen-Embedding-4B-INT8),99%,3.634,4.022,1024.0,32768.0,,,,,,,,,,,
381,382,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,,,,,,,,,,,
382,383,[LateOn-unsupervised](https://huggingface.co/lightonai/LateOn),99%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
383,384,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,0.113,0.137,30522.0,8192.0,,,,,,,,,,,
384,385,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,,
385,385,[ColBERT-Zero-supervised](https://huggingface.co/lightonai/ColBERT-Zero-supervised),100%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
386,387,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,0.043,0.066,30522.0,512.0,,,,,,,,,,,
387,388,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,,
388,389,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,0.012,0.024,384.0,512.0,,,,,,,,,,,
389,390,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,,
390,391,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,,
391,392,[PawanEmbd-68M](https://huggingface.co/dmedhi/PawanEmbd-68M),96%,0.004,0.068,768.0,512.0,,,,,,,,,,,
392,393,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,,
393,394,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,0.043,0.066,30522.0,512.0,,,,,,,,,,,
394,395,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,0.011,0.023,30522.0,512.0,,,,,,,,,,,
395,396,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,,
396,397,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,0.087,0.118,768.0,512.0,,,,,,,,,,,
397,398,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99%,0.013,0.024,512.0,512.0,,,,,,,,,,,
398,399,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,0.0,0.128,256.0,,,,,,,,,,,,
399,400,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,0.0,0.002,64.0,,,,,,,,,,,,
